,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Spot Price,Fed Funds Rate,Maturity,Type,Mid
130,SPY210416C00390000,2021-03-16 3:57PM EDT,390.0,10.44,0.0,0.0,0.0,-,957,19386,0.00%,394.36,2021-02-01,2021-04-16,C,0.0
131,SPY210416C00391000,2021-03-16 4:13PM EDT,391.0,10.04,0.0,0.0,0.0,-,518,7611,0.00%,394.36,2021-02-01,2021-04-16,C,0.0
132,SPY210416C00392000,2021-03-16 4:12PM EDT,392.0,9.31,0.0,0.0,0.0,-,1675,8430,0.00%,394.36,2021-02-01,2021-04-16,C,0.0
133,SPY210416C00393000,2021-03-16 4:12PM EDT,393.0,8.64,0.0,0.0,0.0,-,1793,7185,0.00%,394.36,2021-02-01,2021-04-16,C,0.0
134,SPY210416C00394000,2021-03-16 4:06PM EDT,394.0,7.84,0.0,0.0,0.0,-,1290,5675,0.00%,394.36,2021-02-01,2021-04-16,C,0.0
135,SPY210416C00395000,2021-03-16 4:11PM EDT,395.0,7.28,0.0,0.0,0.0,-,6671,16566,0.20%,394.36,2021-02-01,2021-04-16,C,0.0
136,SPY210416C00396000,2021-03-16 4:11PM EDT,396.0,6.74,0.0,0.0,0.0,-,3924,7796,0.39%,394.36,2021-02-01,2021-04-16,C,0.0
137,SPY210416C00397000,2021-03-16 4:14PM EDT,397.0,6.22,0.0,0.0,0.0,-,8089,9502,0.78%,394.36,2021-02-01,2021-04-16,C,0.0
138,SPY210416C00398000,2021-03-16 4:14PM EDT,398.0,5.7,0.0,0.0,0.0,-,3662,8637,0.78%,394.36,2021-02-01,2021-04-16,C,0.0
139,SPY210416C00399000,2021-03-16 4:00PM EDT,399.0,4.96,0.0,0.0,0.0,-,2237,5781,0.78%,394.36,2021-02-01,2021-04-16,C,0.0
140,SPY210416C00400000,2021-03-16 4:14PM EDT,400.0,4.71,0.0,0.0,0.0,-,6008,36359,1.56%,394.36,2021-02-01,2021-04-16,C,0.0
141,SPY210416C00401000,2021-03-16 3:59PM EDT,401.0,4.12,0.0,0.0,0.0,-,4164,11487,1.56%,394.36,2021-02-01,2021-04-16,C,0.0
142,SPY210416C00402000,2021-03-16 4:12PM EDT,402.0,3.79,0.0,0.0,0.0,-,1165,12778,1.56%,394.36,2021-02-01,2021-04-16,C,0.0
143,SPY210416C00403000,2021-03-16 4:12PM EDT,403.0,3.36,0.0,0.0,0.0,-,2093,6716,1.56%,394.36,2021-02-01,2021-04-16,C,0.0
144,SPY210416C00404000,2021-03-16 4:07PM EDT,404.0,3.01,0.0,0.0,0.0,-,1403,4856,1.56%,394.36,2021-02-01,2021-04-16,C,0.0
145,SPY210416C00405000,2021-03-16 4:12PM EDT,405.0,2.72,0.0,0.0,0.0,-,4714,17326,1.56%,394.36,2021-02-01,2021-04-16,C,0.0
146,SPY210416C00406000,2021-03-16 3:48PM EDT,406.0,2.38,0.0,0.0,0.0,-,1579,10232,3.13%,394.36,2021-02-01,2021-04-16,C,0.0
147,SPY210416C00407000,2021-03-16 4:14PM EDT,407.0,2.17,0.0,0.0,0.0,-,1800,52338,3.13%,394.36,2021-02-01,2021-04-16,C,0.0
148,SPY210416C00408000,2021-03-16 4:05PM EDT,408.0,1.85,0.0,0.0,0.0,-,1436,6161,3.13%,394.36,2021-02-01,2021-04-16,C,0.0
149,SPY210416C00409000,2021-03-16 4:07PM EDT,409.0,1.67,0.0,0.0,0.0,-,534,71474,3.13%,394.36,2021-02-01,2021-04-16,C,0.0
150,SPY210416C00410000,2021-03-16 4:03PM EDT,410.0,1.44,0.0,0.0,0.0,-,3944,122280,3.13%,394.36,2021-02-01,2021-04-16,C,0.0
151,SPY210416C00411000,2021-03-16 4:07PM EDT,411.0,1.31,0.0,0.0,0.0,-,739,7990,3.13%,394.36,2021-02-01,2021-04-16,C,0.0
152,SPY210416C00412000,2021-03-16 4:14PM EDT,412.0,1.17,0.0,0.0,0.0,-,565,4941,3.13%,394.36,2021-02-01,2021-04-16,C,0.0
153,SPY210416C00413000,2021-03-16 3:35PM EDT,413.0,1.05,0.0,0.0,0.0,-,443,6480,3.13%,394.36,2021-02-01,2021-04-16,C,0.0
154,SPY210416C00414000,2021-03-16 3:51PM EDT,414.0,0.91,0.0,0.0,0.0,-,182,5822,3.13%,394.36,2021-02-01,2021-04-16,C,0.0
155,SPY210416C00415000,2021-03-16 3:58PM EDT,415.0,0.79,0.0,0.0,0.0,-,660,9693,3.13%,394.36,2021-02-01,2021-04-16,C,0.0
156,SPY210416C00416000,2021-03-16 3:53PM EDT,416.0,0.69,0.0,0.0,0.0,-,378,3212,3.13%,394.36,2021-02-01,2021-04-16,C,0.0
157,SPY210416C00417000,2021-03-16 4:13PM EDT,417.0,0.61,0.0,0.0,0.0,-,89634,70483,3.13%,394.36,2021-02-01,2021-04-16,C,0.0
158,SPY210416C00418000,2021-03-16 4:13PM EDT,418.0,0.52,0.0,0.0,0.0,-,12655,12130,3.13%,394.36,2021-02-01,2021-04-16,C,0.0
159,SPY210416C00419000,2021-03-16 2:45PM EDT,419.0,0.45,0.0,0.0,0.0,-,737,3638,6.25%,394.36,2021-02-01,2021-04-16,C,0.0
160,SPY210416C00420000,2021-03-16 4:00PM EDT,420.0,0.39,0.0,0.0,0.0,-,1924,18276,6.25%,394.36,2021-02-01,2021-04-16,C,0.0
